indicator,breakdown,group,value,ci_low,ci_high,vis_title,warning
Self-rated mental health in youth,Sex,Males,71.8,68.4,75.2,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Self-rated mental health in youth,Sex,Females,52.3,48.4,56.3,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Self-rated mental health in youth,Sex,Total population,62.2,59.7,64.8,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Happiness in youth,Sex,Males,75.7,72.1,79.3,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Happiness in youth,Sex,Females,70.1,66.5,73.7,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Happiness in youth,Sex,Total population,73.0,70.4,75.5,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Life satisfaction in youth,Sex,Males,8.7,8.6,8.8,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Life satisfaction in youth,Sex,Females,8.2,8.1,8.4,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Life satisfaction in youth,Sex,Total population,8.4,8.4,8.5,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being: Autonomy in youth,Sex,Males,81.4,80.1,82.8,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being: Autonomy in youth,Sex,Females,80.1,78.7,81.5,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being: Autonomy in youth,Sex,Total population,80.8,79.8,81.7,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being: Competence in youth,Sex,Males,85.3,83.9,86.6,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being: Competence in youth,Sex,Females,83.2,81.8,84.6,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being: Competence in youth,Sex,Total population,84.3,83.3,85.2,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Social well-being in youth,Sex,Males,89.1,88.0,90.2,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Social well-being in youth,Sex,Females,89.6,88.5,90.8,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Social well-being in youth,Sex,Total population,89.3,88.6,90.1,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Self-rated mental health in adults,Sex,Males,62.2,60.9,63.5,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Self-rated mental health in adults,Sex,Females,55.8,54.5,57.0,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Self-rated mental health in adults,Sex,Total population,58.9,58.0,59.8,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Self-rated mental health in adults,Age,18-24,46.8,43.1,50.5,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Self-rated mental health in adults,Age,25-44,55.3,53.7,57.0,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Self-rated mental health in adults,Age,45-64,60.3,58.7,61.8,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Self-rated mental health in adults,Age,65+,68.3,67.0,69.5,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Self-rated mental health in adults,Age,Total population,58.9,58.0,59.8,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Happiness in adults,Sex,Males,72.7,71.5,74.0,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Happiness in adults,Sex,Females,74.4,73.3,75.6,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Happiness in adults,Sex,Total population,73.6,72.8,74.4,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Happiness in adults,Age,18-24,65.1,61.3,68.9,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Happiness in adults,Age,25-44,73.2,71.6,74.7,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Happiness in adults,Age,45-64,74.4,73.0,75.8,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Happiness in adults,Age,65+,77.0,75.9,78.1,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Happiness in adults,Age,Total population,73.6,72.8,74.4,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Life satisfaction in adults,Sex,Males,7.9,7.9,8.0,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Life satisfaction in adults,Sex,Females,7.9,7.9,7.9,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Life satisfaction in adults,Sex,Total population,7.9,7.9,7.9,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Life satisfaction in adults,Age,18-24,7.9,7.8,8.0,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Life satisfaction in adults,Age,25-44,7.9,7.8,7.9,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Life satisfaction in adults,Age,45-64,7.9,7.8,7.9,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Life satisfaction in adults,Age,65+,8.0,8.0,8.1,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Life satisfaction in adults,Age,Total population,7.9,7.9,7.9,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being in adults,Sex,Males,75.9,73.8,77.9,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being in adults,Sex,Females,73.6,71.5,75.7,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being in adults,Sex,Total population,74.7,73.3,76.1,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being in adults,Age,18-24,65.6,59.0,72.2,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being in adults,Age,25-44,72.9,70.3,75.5,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being in adults,Age,45-64,77.1,73.4,80.8,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being in adults,Age,65+,79.2,77.0,81.4,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Psychological well-being in adults,Age,Total population,74.7,73.3,76.1,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Social well-being in adults,Sex,Males,67.6,66.2,69.0,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Social well-being in adults,Sex,Females,68.8,67.7,69.9,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Social well-being in adults,Sex,Total population,68.2,67.3,69.1,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Social well-being in adults,Age,18-24,70.0,66.8,73.3,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Social well-being in adults,Age,25-44,63.6,61.9,65.3,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
Social well-being in adults,Age,45-64,68.6,67.1,70.0,Percentage (%) of the population aged 15+ who report attempting suicide or to take their own life in past 12 months,E
