ref_date_raw,start_year,geo,sex,indicator,value,metric_type,quality_flag,scalar_applied,vector,ref_date,dguid,statistic,uom,scalar_factor
2021-04,2021,Canada (excluding territories),"Total, all persons",Excellent or very good perceived health,57.1,percent,,False,v1427746919,2021-04,2016A000011124,Percentage of persons,Percent,units
2021-04,2021,Canada (excluding territories),"Total, all persons",Excellent or very good perceived health,55.9,percent,,False,v1427746920,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),"Total, all persons",Excellent or very good perceived health,58.4,percent,,False,v1427746921,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),"Total, all persons",Excellent or very good perceived health,17877000.0,number,,True,v1427746922,2021-04,2016A000011124,Number of persons,Number,thousands
2021-04,2021,Canada (excluding territories),"Total, all persons",Excellent or very good perceived health,17492000.0,number,,True,v1427746923,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),"Total, all persons",Excellent or very good perceived health,18262000.0,number,,True,v1427746924,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),"Total, all persons",Good perceived health,31.4,percent,,False,v1427746925,2021-04,2016A000011124,Percentage of persons,Percent,units
2021-04,2021,Canada (excluding territories),"Total, all persons",Good perceived health,30.3,percent,,False,v1427746926,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),"Total, all persons",Good perceived health,32.6,percent,,False,v1427746927,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),"Total, all persons",Good perceived health,9837000.0,number,,True,v1427746928,2021-04,2016A000011124,Number of persons,Number,thousands
2021-04,2021,Canada (excluding territories),"Total, all persons",Good perceived health,9471000.0,number,,True,v1427746929,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),"Total, all persons",Good perceived health,10202000.0,number,,True,v1427746930,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),"Total, all persons",Fair or poor perceived health,11.4,percent,,False,v1427746931,2021-04,2016A000011124,Percentage of persons,Percent,units
2021-04,2021,Canada (excluding territories),"Total, all persons",Fair or poor perceived health,10.7,percent,,False,v1427746932,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),"Total, all persons",Fair or poor perceived health,12.2,percent,,False,v1427746933,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),"Total, all persons",Fair or poor perceived health,3574000.0,number,,True,v1427746934,2021-04,2016A000011124,Number of persons,Number,thousands
2021-04,2021,Canada (excluding territories),"Total, all persons",Fair or poor perceived health,3349000.0,number,,True,v1427746935,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),"Total, all persons",Fair or poor perceived health,3800000.0,number,,True,v1427746936,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),Men,Excellent or very good perceived health,60.5,percent,,False,v1427746937,2021-04,2016A000011124,Percentage of persons,Percent,units
2021-04,2021,Canada (excluding territories),Men,Excellent or very good perceived health,58.6,percent,,False,v1427746938,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Men,Excellent or very good perceived health,62.2,percent,,False,v1427746939,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Men,Excellent or very good perceived health,9341000.0,number,,True,v1427746940,2021-04,2016A000011124,Number of persons,Number,thousands
2021-04,2021,Canada (excluding territories),Men,Excellent or very good perceived health,9061000.0,number,,True,v1427746941,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),Men,Excellent or very good perceived health,9620000.0,number,,True,v1427746942,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),Men,Good perceived health,29.0,percent,,False,v1427746943,2021-04,2016A000011124,Percentage of persons,Percent,units
2021-04,2021,Canada (excluding territories),Men,Good perceived health,27.3,percent,,False,v1427746944,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Men,Good perceived health,30.8,percent,,False,v1427746945,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Men,Good perceived health,4484000.0,number,,True,v1427746946,2021-04,2016A000011124,Number of persons,Number,thousands
2021-04,2021,Canada (excluding territories),Men,Good perceived health,4217000.0,number,,True,v1427746947,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),Men,Good perceived health,4750000.0,number,,True,v1427746948,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Canada (excluding territories),Men,Fair or poor perceived health,10.5,percent,,False,v1427746949,2021-04,2016A000011124,Percentage of persons,Percent,units
2021-04,2021,Canada (excluding territories),Men,Fair or poor perceived health,9.5,percent,,False,v1427746950,2021-04,2016A000011124,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Men,Fair or poor perceived health,11.6,percent,,False,v1427746951,2021-04,2016A000011124,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Canada (excluding territories),Men,Fair or poor perceived health,1626000.0,number,,True,v1427746952,2021-04,2016A000011124,Number of persons,Number,thousands
