ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,metric_type,quality_flag
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",68.6,,,percent,
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",58.3,,,percent,
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",53.5,,,percent,
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",8.0,,,percent,
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",13.2,,,percent,
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",16.5,,,percent,
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",13.7,,,percent,
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",17.0,,,percent,
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",17.2,,,percent,
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Mood disorder,10.1,,,percent,
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Mood disorder,12.7,,,percent,
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Mood disorder,15.2,,,percent,
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Anxiety disorder,11.8,,,percent,
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Anxiety disorder,16.4,,,percent,
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",23.2,,,percent,
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",24.7,,,percent,
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",23.8,,,percent,
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Heavy drinking,23.6,,,percent,
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Heavy drinking,25.1,,,percent,
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over",Heavy drinking,22.9,,,percent,
2019/2020,2019,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",79.3,,,percent,
2021/2022,2021,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",76.6,,,percent,
2023/2024,2023,Newfoundland and Labrador,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",72.7,,,percent,
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",70.2,,,percent,
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",59.6,,,percent,
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",55.8,,,percent,
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, fair or poor",8.0,,,percent,
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, fair or poor",12.3,,,percent,
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, fair or poor",14.8,,,percent,
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",14.3,,,percent,
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",15.8,,,percent,
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",15.7,,,percent,
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over",Mood disorder,8.7,,,percent,
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over",Mood disorder,10.1,,,percent,
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over",Mood disorder,12.8,,,percent,
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over",Anxiety disorder,9.9,,,percent,
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over",Anxiety disorder,13.3,,,percent,
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over","Cannabis use, past 12 months",27.5,,,percent,
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over","Cannabis use, past 12 months",27.3,,,percent,
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over","Cannabis use, past 12 months",26.5,,,percent,
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over",Heavy drinking,30.3,,,percent,
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over",Heavy drinking,32.5,,,percent,
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over",Heavy drinking,29.7,,,percent,
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",78.0,,,percent,
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",77.2,,,percent,
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",74.0,,,percent,
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",67.1,,,percent,
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",57.0,,,percent,
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",51.3,,,percent,
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived mental health, fair or poor",8.0,,,percent,
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived mental health, fair or poor",14.0,,,percent,
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived mental health, fair or poor",18.1,,,percent,
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",13.1,,,percent,
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.2,,,percent,
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.7,,,percent,
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over",Mood disorder,11.5,,,percent,
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over",Mood disorder,15.1,,,percent,
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over",Mood disorder,17.5,,,percent,
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over",Anxiety disorder,13.6,,,percent,
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over",Anxiety disorder,19.3,,,percent,
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over","Cannabis use, past 12 months",19.3,,,percent,
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over","Cannabis use, past 12 months",22.3,,,percent,
2023/2024,2023,Newfoundland and Labrador,Females,"Total, 18 years and over","Cannabis use, past 12 months",21.3,,,percent,
