ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,metric_type,quality_flag,vector,ref_date,dguid,uom,scalar_factor
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",,213900.0,,,,v114664847,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",,,237400.0,,,v114664848,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",87.9,,,percent,,v114664849,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",83.7,,,percent,,v114664850,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",91.1,,,percent,,v114664851,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",,184600.0,,,,v114664840,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",,,209500.0,,,v114664841,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",77.4,,,percent,,v114664842,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",72.7,,,percent,,v114664843,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",81.5,,,percent,,v114664844,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, family",,10900.0,,,,v114664868,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, family",,,23100.0,,,v114664869,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, family",6.6,,,percent,e,v114664870,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, family",4.5,,,percent,e,v114664871,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, family",9.6,,,percent,e,v114664872,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, none",,11600.0,,,,v114664903,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, none",,,25800.0,,,v114664904,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, none",7.5,,,percent,e,v114664905,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, none",5.1,,,percent,e,v114664906,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, none",10.9,,,percent,e,v114664907,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",,152900.0,,,,v114664875,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",,,182600.0,,,v114664876,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",67.8,,,percent,,v114664877,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",62.2,,,percent,,v114664878,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",72.9,,,percent,,v114664879,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",,17900.0,,,,v114664882,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",,,34800.0,,,v114664883,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",10.7,,,percent,e,v114664884,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",7.6,,,percent,e,v114664885,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",14.8,,,percent,e,v114664886,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, work",,2800.0,,,,v114664854,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, work",,,10200.0,,,v114664855,2016,2016A000248,Number,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, work",2.7,,,percent,e,v114664856,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, work",1.5,,,percent,e,v114664857,2016,2016A000248,Percent,units
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, work",4.6,,,percent,e,v114664858,2016,2016A000248,Percent,units
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",,101500.0,,,,v114664987,2016,2016A000248,Number,units
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",,,118300.0,,,v114664988,2016,2016A000248,Number,units
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",86.0,,,percent,,v114664989,2016,2016A000248,Percent,units
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",78.9,,,percent,,v114664990,2016,2016A000248,Percent,units
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",91.0,,,percent,,v114664991,2016,2016A000248,Percent,units
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",,82900.0,,,,v114664980,2016,2016A000248,Number,units
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",,,101500.0,,,v114664981,2016,2016A000248,Number,units
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",72.8,,,percent,,v114664982,2016,2016A000248,Percent,units
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",65.3,,,percent,,v114664983,2016,2016A000248,Percent,units
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",79.1,,,percent,,v114664984,2016,2016A000248,Percent,units
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, family",,3600.0,,,,v114665008,2016,2016A000248,Number,units
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, family",,,12000.0,,,v114665009,2016,2016A000248,Number,units
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, family",5.9,,,percent,e,v114665010,2016,2016A000248,Percent,units
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, family",3.3,,,percent,e,v114665011,2016,2016A000248,Percent,units
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, family",10.2,,,percent,e,v114665012,2016,2016A000248,Percent,units
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, none",,2400.0,,,,v114665043,2016,2016A000248,Number,units
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, none",,,8000.0,,,v114665044,2016,2016A000248,Number,units
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, none",4.0,,,percent,e,v114665045,2016,2016A000248,Percent,units
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, none",2.2,,,percent,e,v114665046,2016,2016A000248,Percent,units
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, none",7.0,,,percent,e,v114665047,2016,2016A000248,Percent,units
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",,81400.0,,,,v114665015,2016,2016A000248,Number,units
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",,,101700.0,,,v114665016,2016,2016A000248,Number,units
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",73.7,,,percent,,v114665017,2016,2016A000248,Percent,units
