ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,metric_type,quality_flag,vector,ref_date,dguid,uom,scalar_factor
2015,2015,Alberta,Both sexes,12 to 17 years,Consultation with a health professional about emotional or mental health,,27500.0,,,,v111451568,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,12 to 17 years,Consultation with a health professional about emotional or mental health,,,49800.0,,,v111451569,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,12 to 17 years,Consultation with a health professional about emotional or mental health,15.1,,,percent,,v111451570,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,12 to 17 years,Consultation with a health professional about emotional or mental health,10.8,,,percent,,v111451571,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,12 to 17 years,Consultation with a health professional about emotional or mental health,19.4,,,percent,,v111451572,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,12 to 17 years,"Positive mental health, flourishing",,215300.0,,,,v111451575,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,12 to 17 years,"Positive mental health, flourishing",,,239200.0,,,v111451576,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,12 to 17 years,"Positive mental health, flourishing",87.9,,,percent,,v111451577,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,12 to 17 years,"Positive mental health, flourishing",83.9,,,percent,,v111451578,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,12 to 17 years,"Positive mental health, flourishing",91.8,,,percent,,v111451579,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,12 to 17 years,Suicidal thoughts (15 years and over),,8000.0,,,,v111451582,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,12 to 17 years,Suicidal thoughts (15 years and over),,,21800.0,,,v111451583,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,12 to 17 years,Suicidal thoughts (15 years and over),11.6,,,percent,e,v111451584,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,12 to 17 years,Suicidal thoughts (15 years and over),6.4,,,percent,e,v111451585,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,12 to 17 years,Suicidal thoughts (15 years and over),16.7,,,percent,e,v111451586,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,12 to 17 years,Consultation with a health professional about emotional or mental health,,14200.0,,,,v111451610,2015,2016A000248,Number,units
2015,2015,Alberta,Females,12 to 17 years,Consultation with a health professional about emotional or mental health,,,31800.0,,,v111451611,2015,2016A000248,Number,units
2015,2015,Alberta,Females,12 to 17 years,Consultation with a health professional about emotional or mental health,18.5,,,percent,e,v111451612,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,12 to 17 years,Consultation with a health professional about emotional or mental health,11.5,,,percent,e,v111451613,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,12 to 17 years,Consultation with a health professional about emotional or mental health,25.5,,,percent,e,v111451614,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,12 to 17 years,"Positive mental health, flourishing",,95500.0,,,,v111451617,2015,2016A000248,Number,units
2015,2015,Alberta,Females,12 to 17 years,"Positive mental health, flourishing",,,114600.0,,,v111451618,2015,2016A000248,Number,units
2015,2015,Alberta,Females,12 to 17 years,"Positive mental health, flourishing",83.1,,,percent,,v111451619,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,12 to 17 years,"Positive mental health, flourishing",76.5,,,percent,,v111451620,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,12 to 17 years,"Positive mental health, flourishing",89.7,,,percent,,v111451621,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,12 to 17 years,Suicidal thoughts (15 years and over),,4200.0,,,,v111451624,2015,2016A000248,Number,units
2015,2015,Alberta,Females,12 to 17 years,Suicidal thoughts (15 years and over),,,16300.0,,,v111451625,2015,2016A000248,Number,units
2015,2015,Alberta,Females,12 to 17 years,Suicidal thoughts (15 years and over),16.4,,,percent,e,v111451626,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,12 to 17 years,Suicidal thoughts (15 years and over),7.3,,,percent,e,v111451627,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,12 to 17 years,Suicidal thoughts (15 years and over),25.5,,,percent,e,v111451628,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,12 to 17 years,Consultation with a health professional about emotional or mental health,,8600.0,,,,v111451589,2015,2016A000248,Number,units
2015,2015,Alberta,Males,12 to 17 years,Consultation with a health professional about emotional or mental health,,,22600.0,,,v111451590,2015,2016A000248,Number,units
2015,2015,Alberta,Males,12 to 17 years,Consultation with a health professional about emotional or mental health,11.9,,,percent,e,v111451591,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,12 to 17 years,Consultation with a health professional about emotional or mental health,6.6,,,percent,e,v111451592,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,12 to 17 years,Consultation with a health professional about emotional or mental health,17.2,,,percent,e,v111451593,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,12 to 17 years,"Positive mental health, flourishing",,115500.0,,,,v111451596,2015,2016A000248,Number,units
2015,2015,Alberta,Males,12 to 17 years,"Positive mental health, flourishing",,,128900.0,,,v111451597,2015,2016A000248,Number,units
2015,2015,Alberta,Males,12 to 17 years,"Positive mental health, flourishing",92.5,,,percent,,v111451598,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,12 to 17 years,"Positive mental health, flourishing",88.2,,,percent,,v111451599,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,12 to 17 years,"Positive mental health, flourishing",96.7,,,percent,,v111451600,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,18 to 34 years,Consultation with a health professional about emotional or mental health,,162800.0,,,,v111451631,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,18 to 34 years,Consultation with a health professional about emotional or mental health,,,222300.0,,,v111451632,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,18 to 34 years,Consultation with a health professional about emotional or mental health,18.0,,,percent,,v111451633,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,18 to 34 years,Consultation with a health professional about emotional or mental health,15.2,,,percent,,v111451634,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,18 to 34 years,Consultation with a health professional about emotional or mental health,20.7,,,percent,,v111451635,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,18 to 34 years,"Positive mental health, flourishing",,855600.0,,,,v111451638,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,18 to 34 years,"Positive mental health, flourishing",,,915300.0,,,v111451639,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,18 to 34 years,"Positive mental health, flourishing",82.5,,,percent,,v111451640,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,18 to 34 years,"Positive mental health, flourishing",79.8,,,percent,,v111451641,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,18 to 34 years,"Positive mental health, flourishing",85.2,,,percent,,v111451642,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,18 to 34 years,Suicidal thoughts (15 years and over),,165900.0,,,,v111451645,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,18 to 34 years,Suicidal thoughts (15 years and over),,,222100.0,,,v111451646,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,18 to 34 years,Suicidal thoughts (15 years and over),18.1,,,percent,,v111451647,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,18 to 34 years,Suicidal thoughts (15 years and over),15.5,,,percent,,v111451648,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,18 to 34 years,Suicidal thoughts (15 years and over),20.8,,,percent,,v111451649,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,18 to 34 years,Consultation with a health professional about emotional or mental health,,113800.0,,,,v111451673,2015,2016A000248,Number,units
2015,2015,Alberta,Females,18 to 34 years,Consultation with a health professional about emotional or mental health,,,155100.0,,,v111451674,2015,2016A000248,Number,units
2015,2015,Alberta,Females,18 to 34 years,Consultation with a health professional about emotional or mental health,25.6,,,percent,,v111451675,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,18 to 34 years,Consultation with a health professional about emotional or mental health,21.7,,,percent,,v111451676,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,18 to 34 years,Consultation with a health professional about emotional or mental health,29.5,,,percent,,v111451677,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,18 to 34 years,"Positive mental health, flourishing",,406000.0,,,,v111451680,2015,2016A000248,Number,units
2015,2015,Alberta,Females,18 to 34 years,"Positive mental health, flourishing",,,446700.0,,,v111451681,2015,2016A000248,Number,units
2015,2015,Alberta,Females,18 to 34 years,"Positive mental health, flourishing",81.3,,,percent,,v111451682,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,18 to 34 years,"Positive mental health, flourishing",77.4,,,percent,,v111451683,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,18 to 34 years,"Positive mental health, flourishing",85.1,,,percent,,v111451684,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,18 to 34 years,Suicidal thoughts (15 years and over),,91600.0,,,,v111451687,2015,2016A000248,Number,units
2015,2015,Alberta,Females,18 to 34 years,Suicidal thoughts (15 years and over),,,130900.0,,,v111451688,2015,2016A000248,Number,units
2015,2015,Alberta,Females,18 to 34 years,Suicidal thoughts (15 years and over),21.3,,,percent,,v111451689,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,18 to 34 years,Suicidal thoughts (15 years and over),17.5,,,percent,,v111451690,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,18 to 34 years,Suicidal thoughts (15 years and over),25.1,,,percent,,v111451691,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,18 to 34 years,Consultation with a health professional about emotional or mental health,,37100.0,,,,v111451652,2015,2016A000248,Number,units
2015,2015,Alberta,Males,18 to 34 years,Consultation with a health professional about emotional or mental health,,,79100.0,,,v111451653,2015,2016A000248,Number,units
2015,2015,Alberta,Males,18 to 34 years,Consultation with a health professional about emotional or mental health,10.6,,,percent,e,v111451654,2015,2016A000248,Percent,units
