kpi,value,data_source
national_fair_poor_mh_latest_pct,11.9,SAMPLE (not real)
national_fair_poor_mh_change_pp,0.7,SAMPLE (not real)
highest_burden_province,Manitoba (12.6%),SAMPLE (not real)
lowest_burden_province,Nova Scotia (11.1%),SAMPLE (not real)
provinces_worsening_count,6,SAMPLE (not real)
national_suicidal_thoughts_latest_pct,4.6,SAMPLE (not real)
female_minus_male_fair_poor_mh_pp,0.7,SAMPLE (not real)
provincial_spread_fair_poor_mh_pp,1.5,SAMPLE (not real)
help_seeking_ratio_national,2.04,SAMPLE (not real)
youth_ed_visit_rate_latest_per100k,1417.0,SAMPLE (not real)
